"MAKE_CODE";"MIN_KW";"MAX_KW";"VALUE";"VALID_FROM";"VALID_TO"
"21";"67";"75";"0.84";"2010-01-01";"2010-12-31"
"21";"76";"85";"0.84";"2010-01-01";"2010-12-31"
"21";"86";"100";"0.80";"2010-01-01";"2010-12-31"
"21";"101";"120";"0.83";"2010-01-01";"2010-12-31"
"21";"121";"150";"0.83";"2010-01-01";"2010-12-31"
"21";"151";"200";"0.86";"2010-01-01";"2010-12-31"
"21";"200";"100000";"0.90";"2010-01-01";"2010-12-31"
"14";"0";"33";"0.88";"2010-01-01";"2010-12-31"
"14";"34";"45";"0.83";"2010-01-01";"2010-12-31"
"14";"46";"55";"0.79";"2010-01-01";"2010-12-31"
"14";"56";"66";"0.81";"2010-01-01";"2010-12-31"
"14";"67";"75";"0.84";"2010-01-01";"2010-12-31"
"14";"76";"85";"0.84";"2010-01-01";"2010-12-31"
"14";"86";"100";"0.80";"2010-01-01";"2010-12-31"
"14";"101";"120";"0.83";"2010-01-01";"2010-12-31"
"14";"121";"150";"0.83";"2010-01-01";"2010-12-31"
"14";"151";"200";"0.86";"2010-01-01";"2010-12-31"
"14";"200";"100000";"0.90";"2010-01-01";"2010-12-31"
"20";"0";"33";"0.97";"2010-01-01";"2010-12-31"
"20";"34";"45";"0.89";"2010-01-01";"2010-12-31"
"20";"46";"55";"0.87";"2010-01-01";"2010-12-31"
"20";"56";"66";"0.89";"2010-01-01";"2010-12-31"
"20";"67";"75";"0.91";"2010-01-01";"2010-12-31"
"20";"76";"85";"0.91";"2010-01-01";"2010-12-31"
"20";"86";"100";"0.91";"2010-01-01";"2010-12-31"
"20";"101";"120";"0.91";"2010-01-01";"2010-12-31"
"20";"121";"150";"0.82";"2010-01-01";"2010-12-31"
"20";"151";"200";"0.82";"2010-01-01";"2010-12-31"
"20";"200";"100000";"0.82";"2010-01-01";"2010-12-31"
"25";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"25";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"25";"46";"55";"1.0";"2010-01-01";"2010-12-31"
"25";"56";"66";"1.0";"2010-01-01";"2010-12-31"
"25";"67";"75";"1.0";"2010-01-01";"2010-12-31"
"25";"76";"85";"1.0";"2010-01-01";"2010-12-31"
"25";"86";"100";"1.0";"2010-01-01";"2010-12-31"
"25";"101";"120";"1.0";"2010-01-01";"2010-12-31"
"25";"121";"150";"0.91";"2010-01-01";"2010-12-31"
"25";"151";"200";"1.0";"2010-01-01";"2010-12-31"
"25";"200";"100000";"0.85";"2010-01-01";"2010-12-31"
"45";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"45";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"45";"46";"55";"1.0";"2010-01-01";"2010-12-31"
"45";"56";"66";"1.0";"2010-01-01";"2010-12-31"
"45";"67";"75";"1.0";"2010-01-01";"2010-12-31"
"45";"76";"85";"1.0";"2010-01-01";"2010-12-31"
"45";"86";"100";"1.0";"2010-01-01";"2010-12-31"
"45";"101";"120";"1.0";"2010-01-01";"2010-12-31"
"45";"121";"150";"0.91";"2010-01-01";"2010-12-31"
"45";"151";"200";"1.0";"2010-01-01";"2010-12-31"
"45";"200";"100000";"0.85";"2010-01-01";"2010-12-31"
"69";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"69";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"69";"46";"55";"1.0";"2010-01-01";"2010-12-31"
"69";"56";"66";"1.0";"2010-01-01";"2010-12-31"
"69";"67";"75";"1.0";"2010-01-01";"2010-12-31"
"69";"76";"85";"1.0";"2010-01-01";"2010-12-31"
"69";"86";"100";"1.0";"2010-01-01";"2010-12-31"
"69";"101";"120";"1.0";"2010-01-01";"2010-12-31"
"69";"121";"150";"0.91";"2010-01-01";"2010-12-31"
"69";"151";"200";"1.0";"2010-01-01";"2010-12-31"
"69";"200";"100000";"0.85";"2010-01-01";"2010-12-31"
"4";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"4";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"4";"46";"55";"1.0";"2010-01-01";"2010-12-31"
"4";"56";"66";"1.0";"2010-01-01";"2010-12-31"
"4";"67";"75";"1.0";"2010-01-01";"2010-12-31"
"4";"76";"85";"1.0";"2010-01-01";"2010-12-31"
"4";"86";"100";"1.0";"2010-01-01";"2010-12-31"
"4";"101";"120";"1.0";"2010-01-01";"2010-12-31"
"4";"121";"150";"0.91";"2010-01-01";"2010-12-31"
"4";"151";"200";"1.0";"2010-01-01";"2010-12-31"
"4";"200";"100000";"0.85";"2010-01-01";"2010-12-31"
"8";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"8";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"8";"46";"55";"1.0";"2010-01-01";"2010-12-31"
"8";"56";"66";"1.0";"2010-01-01";"2010-12-31"
"8";"67";"75";"1.0";"2010-01-01";"2010-12-31"
"8";"76";"85";"1.0";"2010-01-01";"2010-12-31"
"8";"86";"100";"1.0";"2010-01-01";"2010-12-31"
"8";"101";"120";"1.0";"2010-01-01";"2010-12-31"
"8";"121";"150";"0.91";"2010-01-01";"2010-12-31"
"8";"151";"200";"1.0";"2010-01-01";"2010-12-31"
"8";"200";"100000";"0.85";"2010-01-01";"2010-12-31"
"44";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"44";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"44";"46";"55";"1.0";"2010-01-01";"2010-12-31"
"44";"56";"66";"1.0";"2010-01-01";"2010-12-31"
"44";"67";"75";"1.0";"2010-01-01";"2010-12-31"
"44";"76";"85";"1.0";"2010-01-01";"2010-12-31"
"44";"86";"100";"1.0";"2010-01-01";"2010-12-31"
"44";"101";"120";"1.0";"2010-01-01";"2010-12-31"
"44";"121";"150";"0.91";"2010-01-01";"2010-12-31"
"44";"151";"200";"1.0";"2010-01-01";"2010-12-31"
"44";"200";"100000";"0.85";"2010-01-01";"2010-12-31"
"23";"0";"33";"0.96";"2010-01-01";"2010-12-31"
"23";"34";"45";"0.90";"2010-01-01";"2010-12-31"
"23";"46";"55";"0.90";"2010-01-01";"2010-12-31"
"23";"56";"66";"0.90";"2010-01-01";"2010-12-31"
"23";"67";"75";"0.90";"2010-01-01";"2010-12-31"
"23";"76";"85";"0.90";"2010-01-01";"2010-12-31"
"23";"86";"100";"0.86";"2010-01-01";"2010-12-31"
"23";"101";"120";"0.9";"2010-01-01";"2010-12-31"
"23";"121";"150";"0.90";"2010-01-01";"2010-12-31"
"23";"151";"200";"0.90";"2010-01-01";"2010-12-31"
"23";"200";"100000";"0.94";"2010-01-01";"2010-12-31"
"2";"0";"33";"0.96";"2010-01-01";"2010-12-31"
"2";"34";"45";"0.90";"2010-01-01";"2010-12-31"
"2";"46";"55";"0.90";"2010-01-01";"2010-12-31"
"2";"56";"66";"0.90";"2010-01-01";"2010-12-31"
"2";"67";"75";"0.90";"2010-01-01";"2010-12-31"
"2";"76";"85";"0.90";"2010-01-01";"2010-12-31"
"2";"86";"100";"0.86";"2010-01-01";"2010-12-31"
"2";"101";"120";"0.9";"2010-01-01";"2010-12-31"
"2";"121";"150";"0.90";"2010-01-01";"2010-12-31"
"2";"151";"200";"0.90";"2010-01-01";"2010-12-31"
"2";"200";"100000";"0.94";"2010-01-01";"2010-12-31"
"40";"0";"33";"0.96";"2010-01-01";"2010-12-31"
"40";"34";"45";"0.90";"2010-01-01";"2010-12-31"
"40";"46";"55";"0.90";"2010-01-01";"2010-12-31"
"40";"56";"66";"0.90";"2010-01-01";"2010-12-31"
"40";"67";"75";"0.90";"2010-01-01";"2010-12-31"
"40";"76";"85";"0.90";"2010-01-01";"2010-12-31"
"40";"86";"100";"0.86";"2010-01-01";"2010-12-31"
"40";"101";"120";"0.9";"2010-01-01";"2010-12-31"
"40";"121";"150";"0.90";"2010-01-01";"2010-12-31"
"40";"151";"200";"0.90";"2010-01-01";"2010-12-31"
"40";"200";"100000";"0.94";"2010-01-01";"2010-12-31"
"28";"0";"33";"0.86";"2010-01-01";"2010-12-31"
"28";"34";"45";"0.83";"2010-01-01";"2010-12-31"
"28";"46";"55";"0.82";"2010-01-01";"2010-12-31"
"28";"56";"66";"0.83";"2010-01-01";"2010-12-31"
"28";"67";"75";"0.85";"2010-01-01";"2010-12-31"
"28";"76";"85";"0.85";"2010-01-01";"2010-12-31"
"28";"86";"100";"0.82";"2010-01-01";"2010-12-31"
"28";"101";"120";"0.85";"2010-01-01";"2010-12-31"
"28";"121";"150";"0.84";"2010-01-01";"2010-12-31"
"28";"151";"200";"0.88";"2010-01-01";"2010-12-31"
"28";"200";"100000";"0.90";"2010-01-01";"2010-12-31"
"30";"0";"33";"0.85";"2010-01-01";"2010-12-31"
"30";"34";"45";"0.97";"2010-01-01";"2010-12-31"
"30";"46";"55";"0.95";"2010-01-01";"2010-12-31"
"30";"56";"66";"0.97";"2010-01-01";"2010-12-31"
"30";"67";"75";"0.99";"2010-01-01";"2010-12-31"
"30";"76";"85";"0.99";"2010-01-01";"2010-12-31"
"30";"86";"100";"0.97";"2010-01-01";"2010-12-31"
"30";"101";"120";"0.99";"2010-01-01";"2010-12-31"
"30";"121";"150";"0.99";"2010-01-01";"2010-12-31"
"30";"151";"200";"1.0";"2010-01-01";"2010-12-31"
"30";"200";"100000";"1.0";"2010-01-01";"2010-12-31"
"32";"0";"33";"0.82";"2010-01-01";"2010-12-31"
"32";"34";"45";"0.82";"2010-01-01";"2010-12-31"
"32";"46";"55";"0.82";"2010-01-01";"2010-12-31"
"32";"56";"66";"0.84";"2010-01-01";"2010-12-31"
"32";"67";"75";"0.86";"2010-01-01";"2010-12-31"
"32";"76";"85";"0.86";"2010-01-01";"2010-12-31"
"32";"86";"100";"0.85";"2010-01-01";"2010-12-31"
"32";"101";"120";"0.86";"2010-01-01";"2010-12-31"
"32";"121";"150";"0.86";"2010-01-01";"2010-12-31"
"32";"151";"200";"0.86";"2010-01-01";"2010-12-31"
"32";"200";"100000";"0.86";"2010-01-01";"2010-12-31"
"34";"0";"33";"0.90";"2010-01-01";"2010-12-31"
"34";"34";"45";"0.81";"2010-01-01";"2010-12-31"
"34";"46";"55";"0.91";"2010-01-01";"2010-12-31"
"34";"56";"66";"0.91";"2010-01-01";"2010-12-31"
"34";"67";"75";"0.92";"2010-01-01";"2010-12-31"
"34";"76";"85";"0.92";"2010-01-01";"2010-12-31"
"34";"86";"100";"0.94";"2010-01-01";"2010-12-31"
"34";"101";"120";"0.95";"2010-01-01";"2010-12-31"
"34";"121";"150";"0.95";"2010-01-01";"2010-12-31"
"34";"151";"200";"0.95";"2010-01-01";"2010-12-31"
"34";"200";"100000";"0.95";"2010-01-01";"2010-12-31"
"35";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"35";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"35";"46";"55";"1.0";"2010-01-01";"2010-12-31"
"35";"56";"66";"1.0";"2010-01-01";"2010-12-31"
"35";"67";"75";"1.0";"2010-01-01";"2010-12-31"
"35";"76";"85";"1.0";"2010-01-01";"2010-12-31"
"35";"86";"100";"1.02";"2010-01-01";"2010-12-31"
"35";"101";"120";"0.89";"2010-01-01";"2010-12-31"
"35";"121";"150";"0.89";"2010-01-01";"2010-12-31"
"35";"151";"200";"0.89";"2010-01-01";"2010-12-31"
"35";"200";"100000";"0.89";"2010-01-01";"2010-12-31"
"36";"0";"33";"0.82";"2010-01-01";"2010-12-31"
"36";"34";"45";"0.80";"2010-01-01";"2010-12-31"
"36";"46";"55";"0.81";"2010-01-01";"2010-12-31"
"36";"56";"66";"0.85";"2010-01-01";"2010-12-31"
"36";"67";"75";"0.87";"2010-01-01";"2010-12-31"
"36";"76";"85";"0.87";"2010-01-01";"2010-12-31"
"36";"86";"100";"0.87";"2010-01-01";"2010-12-31"
"36";"101";"120";"0.87";"2010-01-01";"2010-12-31"
"36";"121";"150";"0.87";"2010-01-01";"2010-12-31"
"36";"151";"200";"0.87";"2010-01-01";"2010-12-31"
"36";"200";"100000";"0.87";"2010-01-01";"2010-12-31"
"39";"0";"33";"0.94";"2010-01-01";"2010-12-31"
"39";"34";"45";"0.94";"2010-01-01";"2010-12-31"
"39";"46";"55";"0.94";"2010-01-01";"2010-12-31"
"39";"56";"66";"0.94";"2010-01-01";"2010-12-31"
"39";"67";"75";"0.98";"2010-01-01";"2010-12-31"
"39";"76";"85";"0.98";"2010-01-01";"2010-12-31"
"39";"86";"100";"1.02";"2010-01-01";"2010-12-31"
"39";"101";"120";"1.03";"2010-01-01";"2010-12-31"
"39";"121";"150";"1.02";"2010-01-01";"2010-12-31"
"39";"151";"200";"1.02";"2010-01-01";"2010-12-31"
"39";"200";"100000";"1.03";"2010-01-01";"2010-12-31"
"42";"0";"33";"0.82";"2010-01-01";"2010-12-31"
"42";"34";"45";"0.79";"2010-01-01";"2010-12-31"
"42";"46";"55";"0.76";"2010-01-01";"2010-12-31"
"42";"56";"66";"0.74";"2010-01-01";"2010-12-31"
"42";"67";"75";"0.76";"2010-01-01";"2010-12-31"
"42";"76";"85";"0.76";"2010-01-01";"2010-12-31"
"42";"86";"100";"0.77";"2010-01-01";"2010-12-31"
"42";"101";"120";"0.78";"2010-01-01";"2010-12-31"
"42";"121";"150";"0.89";"2010-01-01";"2010-12-31"
"42";"151";"200";"1.02";"2010-01-01";"2010-12-31"
"42";"200";"100000";"1.05";"2010-01-01";"2010-12-31"
"46";"0";"33";"0.98";"2010-01-01";"2010-12-31"
"46";"34";"45";"0.90";"2010-01-01";"2010-12-31"
"46";"46";"55";"0.88";"2010-01-01";"2010-12-31"
"46";"56";"66";"0.88";"2010-01-01";"2010-12-31"
"46";"67";"75";"0.88";"2010-01-01";"2010-12-31"
"46";"76";"85";"0.88";"2010-01-01";"2010-12-31"
"46";"86";"100";"0.89";"2010-01-01";"2010-12-31"
"46";"101";"120";"0.89";"2010-01-01";"2010-12-31"
"46";"121";"150";"0.89";"2010-01-01";"2010-12-31"
"46";"151";"200";"0.89";"2010-01-01";"2010-12-31"
"46";"200";"100000";"0.86";"2010-01-01";"2010-12-31"
"50";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"50";"34";"45";"0.95";"2010-01-01";"2010-12-31"
"50";"46";"55";"0.95";"2010-01-01";"2010-12-31"
"50";"56";"66";"0.95";"2010-01-01";"2010-12-31"
"50";"67";"75";"0.95";"2010-01-01";"2010-12-31"
"50";"76";"85";"0.95";"2010-01-01";"2010-12-31"
"50";"86";"100";"0.94";"2010-01-01";"2010-12-31"
"50";"101";"120";"0.94";"2010-01-01";"2010-12-31"
"50";"121";"150";"0.94";"2010-01-01";"2010-12-31"
"50";"151";"200";"0.98";"2010-01-01";"2010-12-31"
"50";"200";"100000";"0.99";"2010-01-01";"2010-12-31"
"56";"0";"33";"0.98";"2010-01-01";"2010-12-31"
"56";"34";"45";"0.89";"2010-01-01";"2010-12-31"
"56";"46";"55";"0.89";"2010-01-01";"2010-12-31"
"56";"56";"66";"0.89";"2010-01-01";"2010-12-31"
"56";"67";"75";"0.89";"2010-01-01";"2010-12-31"
"56";"76";"85";"0.89";"2010-01-01";"2010-12-31"
"56";"86";"100";"0.90";"2010-01-01";"2010-12-31"
"56";"101";"120";"0.95";"2010-01-01";"2010-12-31"
"56";"121";"150";"0.95";"2010-01-01";"2010-12-31"
"56";"151";"200";"0.95";"2010-01-01";"2010-12-31"
"56";"200";"100000";"0.95";"2010-01-01";"2010-12-31"
"60";"0";"33";"0.88";"2010-01-01";"2010-12-31"
"60";"34";"45";"0.83";"2010-01-01";"2010-12-31"
"60";"46";"55";"0.79";"2010-01-01";"2010-12-31"
"60";"56";"66";"0.81";"2010-01-01";"2010-12-31"
"60";"67";"75";"0.84";"2010-01-01";"2010-12-31"
"60";"76";"85";"0.84";"2010-01-01";"2010-12-31"
"60";"86";"100";"0.80";"2010-01-01";"2010-12-31"
"60";"101";"120";"0.83";"2010-01-01";"2010-12-31"
"60";"121";"150";"0.83";"2010-01-01";"2010-12-31"
"60";"151";"200";"0.86";"2010-01-01";"2010-12-31"
"60";"200";"100000";"0.90";"2010-01-01";"2010-12-31"
"62";"0";"33";"0.92";"2010-01-01";"2010-12-31"
"62";"34";"45";"0.85";"2010-01-01";"2010-12-31"
"62";"46";"55";"0.83";"2010-01-01";"2010-12-31"
"62";"56";"66";"0.83";"2010-01-01";"2010-12-31"
"62";"67";"75";"0.83";"2010-01-01";"2010-12-31"
"62";"76";"85";"0.83";"2010-01-01";"2010-12-31"
"62";"86";"100";"0.84";"2010-01-01";"2010-12-31"
"62";"101";"120";"0.84";"2010-01-01";"2010-12-31"
"62";"121";"150";"0.84";"2010-01-01";"2010-12-31"
"62";"151";"200";"0.90";"2010-01-01";"2010-12-31"
"62";"200";"100000";"0.90";"2010-01-01";"2010-12-31"
"65";"0";"33";"1.0";"2010-01-01";"2010-12-31"
"65";"34";"45";"1.0";"2010-01-01";"2010-12-31"
"65";"46";"55";"1.0";"2010-01-01";"2010-12-31"
"65";"56";"66";"1.0";"2010-01-01";"2010-12-31"
"65";"67";"75";"1.0";"2010-01-01";"2010-12-31"
"65";"76";"85";"1.0";"2010-01-01";"2010-12-31"
"65";"86";"100";"1.0";"2010-01-01";"2010-12-31"
"65";"101";"120";"1.0";"2010-01-01";"2010-12-31"
"65";"121";"150";"1.0";"2010-01-01";"2010-12-31"
"65";"151";"200";"1.0";"2010-01-01";"2010-12-31"
"65";"200";"100000";"1.0";"2010-01-01";"2010-12-31"
"66";"0";"33";"0.94";"2010-01-01";"2010-12-31"
"66";"34";"45";"0.94";"2010-01-01";"2010-12-31"
"66";"46";"55";"0.97";"2010-01-01";"2010-12-31"
"66";"56";"66";"0.97";"2010-01-01";"2010-12-31"
"66";"67";"75";"0.99";"2010-01-01";"2010-12-31"
"66";"76";"85";"0.99";"2010-01-01";"2010-12-31"
"66";"86";"100";"0.99";"2010-01-01";"2010-12-31"
"66";"101";"120";"0.99";"2010-01-01";"2010-12-31"
"66";"121";"150";"0.99";"2010-01-01";"2010-12-31"
"66";"151";"200";"0.99";"2010-01-01";"2010-12-31"
"66";"200";"100000";"0.99";"2010-01-01";"2010-12-31"
"68";"0";"33";"0.81";"2010-01-01";"2010-12-31"
"68";"34";"45";"0.76";"2010-01-01";"2010-12-31"
"68";"46";"55";"0.76";"2010-01-01";"2010-12-31"
"68";"56";"66";"0.73";"2010-01-01";"2010-12-31"
"68";"67";"75";"0.74";"2010-01-01";"2010-12-31"
"68";"76";"85";"0.74";"2010-01-01";"2010-12-31"
"68";"86";"100";"0.74";"2010-01-01";"2010-12-31"
"68";"101";"120";"0.77";"2010-01-01";"2010-12-31"
"68";"121";"150";"0.88";"2010-01-01";"2010-12-31"
"68";"151";"200";"0.90";"2010-01-01";"2010-12-31"
"68";"200";"100000";"0.94";"2010-01-01";"2010-12-31"
"70";"0";"33";"0.93";"2010-01-01";"2010-12-31"
"70";"34";"45";"0.89";"2010-01-01";"2010-12-31"
"70";"46";"55";"0.94";"2010-01-01";"2010-12-31"
"70";"56";"66";"0.95";"2010-01-01";"2010-12-31"
"70";"67";"75";"0.97";"2010-01-01";"2010-12-31"
"70";"76";"85";"1.0";"2010-01-01";"2010-12-31"
"70";"86";"100";"0.98";"2010-01-01";"2010-12-31"
"70";"101";"120";"1.0";"2010-01-01";"2010-12-31"
"70";"121";"150";"1.0";"2010-01-01";"2010-12-31"
"70";"151";"200";"1.0";"2010-01-01";"2010-12-31"
"70";"200";"100000";"1.0";"2010-01-01";"2010-12-31"
"72";"0";"33";"0.65";"2010-01-01";"2010-12-31"
"72";"34";"45";"0.65";"2010-01-01";"2010-12-31"
"72";"46";"55";"0.71";"2010-01-01";"2010-12-31"
"72";"56";"66";"0.71";"2010-01-01";"2010-12-31"
"72";"67";"75";"0.71";"2010-01-01";"2010-12-31"
"72";"76";"85";"0.73";"2010-01-01";"2010-12-31"
"72";"86";"100";"0.78";"2010-01-01";"2010-12-31"
"72";"101";"120";"0.79";"2010-01-01";"2010-12-31"
"72";"121";"150";"0.77";"2010-01-01";"2010-12-31"
"72";"151";"200";"0.77";"2010-01-01";"2010-12-31"
"72";"200";"100000";"0.72";"2010-01-01";"2010-12-31"
"75";"0";"33";"0.88";"2010-01-01";"2010-12-31"
"75";"34";"45";"0.82";"2010-01-01";"2010-12-31"
"75";"46";"55";"0.83";"2010-01-01";"2010-12-31"
"75";"56";"66";"0.89";"2010-01-01";"2010-12-31"
"75";"67";"75";"0.90";"2010-01-01";"2010-12-31"
"75";"76";"85";"0.88";"2010-01-01";"2010-12-31"
"75";"86";"100";"0.92";"2010-01-01";"2010-12-31"
"75";"101";"120";"0.93";"2010-01-01";"2010-12-31"
"75";"121";"150";"0.88";"2010-01-01";"2010-12-31"
"75";"151";"200";"0.99";"2010-01-01";"2010-12-31"
"75";"200";"100000";"0.90";"2010-01-01";"2010-12-31"
"77";"0";"33";"0.73";"2010-01-01";"2010-12-31"
"77";"34";"45";"0.72";"2010-01-01";"2010-12-31"
"77";"46";"55";"0.71";"2010-01-01";"2010-12-31"
"77";"56";"66";"0.72";"2010-01-01";"2010-12-31"
"77";"67";"75";"0.71";"2010-01-01";"2010-12-31"
"77";"76";"85";"0.74";"2010-01-01";"2010-12-31"
"77";"86";"100";"0.74";"2010-01-01";"2010-12-31"
"77";"101";"120";"0.74";"2010-01-01";"2010-12-31"
"77";"121";"150";"0.79";"2010-01-01";"2010-12-31"
"77";"151";"200";"0.80";"2010-01-01";"2010-12-31"
"77";"200";"100000";"0.82";"2010-01-01";"2010-12-31"
"78";"0";"33";"0.94";"2010-01-01";"2010-12-31"
"78";"34";"45";"0.94";"2010-01-01";"2010-12-31"
"78";"46";"55";"0.94";"2010-01-01";"2010-12-31"
"78";"56";"66";"0.94";"2010-01-01";"2010-12-31"
"78";"67";"75";"1.01";"2010-01-01";"2010-12-31"
"78";"76";"85";"0.94";"2010-01-01";"2010-12-31"
"78";"86";"100";"1.0";"2010-01-01";"2010-12-31"
"78";"101";"120";"1.03";"2010-01-01";"2010-12-31"
"78";"121";"150";"0.88";"2010-01-01";"2010-12-31"
"78";"151";"200";"0.99";"2010-01-01";"2010-12-31"
"78";"200";"100000";"1.04";"2010-01-01";"2010-12-31"
"80";"0";"33";"0.90";"2010-01-01";"2010-12-31"
"80";"34";"45";"0.91";"2010-01-01";"2010-12-31"
"80";"46";"55";"0.90";"2010-01-01";"2010-12-31"
"80";"56";"66";"0.91";"2010-01-01";"2010-12-31"
"80";"67";"75";"0.92";"2010-01-01";"2010-12-31"
"80";"76";"85";"0.94";"2010-01-01";"2010-12-31"
"80";"86";"100";"0.98";"2010-01-01";"2010-12-31"
"80";"101";"120";"1.0";"2010-01-01";"2010-12-31"
"80";"121";"150";"1.01";"2010-01-01";"2010-12-31"
"80";"151";"200";"0.99";"2010-01-01";"2010-12-31"
"80";"200";"100000";"0.95";"2010-01-01";"2010-12-31"
"82";"0";"33";"0.82";"2010-01-01";"2010-12-31"
"82";"34";"45";"0.81";"2010-01-01";"2010-12-31"
"82";"46";"55";"0.79";"2010-01-01";"2010-12-31"
"82";"56";"66";"0.85";"2010-01-01";"2010-12-31"
"82";"67";"75";"0.88";"2010-01-01";"2010-12-31"
"82";"76";"85";"0.88";"2010-01-01";"2010-12-31"
"82";"86";"100";"0.88";"2010-01-01";"2010-12-31"
"82";"101";"120";"0.92";"2010-01-01";"2010-12-31"
"82";"121";"150";"0.88";"2010-01-01";"2010-12-31"
"82";"151";"200";"0.88";"2010-01-01";"2010-12-31"
"82";"200";"100000";"0.90";"2010-01-01";"2010-12-31"
"86";"0";"33";"0.73";"2010-01-01";"2010-12-31"
"86";"34";"45";"0.72";"2010-01-01";"2010-12-31"
"86";"46";"55";"0.71";"2010-01-01";"2010-12-31"
"86";"56";"66";"0.72";"2010-01-01";"2010-12-31"
"86";"67";"75";"0.74";"2010-01-01";"2010-12-31"
"86";"76";"85";"0.77";"2010-01-01";"2010-12-31"
"86";"86";"100";"0.74";"2010-01-01";"2010-12-31"
